,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
311,Fred Warner,49ers,ILB,"$6,165,000","$6,231,000","$994,831","$5,236,169","$6,165,000","$994,831","$5,170,169","$844,000","$5,387,000"
312,Dalvin Tomlinson,Giants,34DT,"$5,511,000","$6,213,000","$1,143,026","$5,069,974","$5,511,000","$1,143,026","$4,367,974","$1,088,469","$5,124,531"
313,Tyreek Hill,Chiefs,WR,"$6,201,000","$6,209,000","$18,000,000","($11,791,000)","$8,780,667","$13,500,000","($4,719,333)","$16,290,000","($10,081,000)"
314,Eddie Jackson,Bears,S,"$6,146,000","$6,199,000","$766,452","$5,432,548","$6,146,000","$766,452","$5,379,548","$13,150,000","($6,951,000)"
315,Vic Beasley,Falcons,43OLB,"$6,184,000","$6,187,000","$3,623,807","$2,563,193","$6,184,000","$3,623,807","$2,560,193","$9,500,000","($3,313,000)"
316,Kenny Moore,Colts,CB,"$6,045,000","$6,185,000","$8,325,000","($2,140,000)","$8,587,969","$5,723,438","$2,864,531","$6,000,000","$185,000"
317,Vince Biegel,Dolphins,ILB,"$4,902,000","$6,176,000","$645,000","$5,531,000","$5,315,433","$604,688","$4,710,745","$2,133,000","$4,043,000"
318,Miles Sanders,Eagles,RB,"$6,061,000","$6,159,000","$1,340,058","$4,818,942","$6,061,000","$1,340,058","$4,720,942","$738,647","$5,420,353"
319,Davon Godchaux,Dolphins,34DT,"$5,628,000","$6,130,000","$650,487","$5,479,513","$5,628,000","$650,487","$4,977,513","$2,133,000","$3,997,000"
320,Ereck Flowers,Redskins,LG,"$5,970,000","$6,107,000","$3,250,000","$2,857,000","$5,970,000","$3,250,000","$2,720,000","$11,000,000","($4,893,000)"
321,Jerry Hughes,Bills,43DE,"$6,084,000","$6,105,000","$10,750,000","($4,645,000)","$6,084,000","$10,750,000","($4,666,000)","$7,400,000","($1,295,000)"
322,Jaire Alexander,Packers,CB,"$6,037,000","$6,082,000","$3,012,684","$3,069,316","$6,037,000","$3,012,684","$3,024,316","$1,575,522","$4,506,478"
323,K'Waun Williams,49ers,CB,"$6,041,000","$6,081,000","$2,950,000","$3,131,000","$6,401,963","$2,765,625","$3,636,338","$2,450,000","$3,631,000"
324,Alex Mack,Falcons,C,"$6,062,000","$6,073,000","$9,000,000","($2,927,000)","$6,062,000","$9,000,000","($2,938,000)","$8,000,000","($1,927,000)"
325,Christian Kirk,Cardinals,WR,"$6,019,000","$6,069,000","$1,473,719","$4,595,281","$7,655,832","$1,197,397","$6,458,435","$1,015,898","$5,053,102"
