,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
887,Mitch Wishnowsky,49ers,P,"$2,125,000","$2,125,000","$821,018","$1,303,982","$2,125,000","$821,018","$1,303,982","$675,000","$1,450,000"
888,Delano Hill,Seahawks,S,"$1,426,000","$2,119,000","$801,682","$1,317,318","$1,905,366","$601,262","$1,304,104","$825,000","$1,294,000"
889,Greedy Williams,Browns,CB,"$2,049,000","$2,115,000","$1,614,669","$500,331","$3,336,212","$1,211,002","$2,125,210","$788,576","$1,326,424"
890,Demaryius Thomas,Jets,WR,"$2,102,000","$2,110,000","$3,000,000","($890,000)","$3,751,972","$2,062,500","$1,689,472",Free Agent,
891,Jordan Devey,Raiders,RG,"$2,070,000","$2,104,000","$895,000","$1,209,000","$6,181,800","$223,750","$5,958,050","$942,500","$1,161,500"
892,Conor McDermott,Jets,RT,"$2,024,000","$2,101,000","$633,757","$1,467,243","$2,024,000","$633,757","$1,390,243","$825,000","$1,276,000"
893,Joe Thomas,Cowboys,43OLB,"$1,127,000","$2,099,000","$1,800,000","$299,000","$1,219,488","$1,687,500","($468,012)","$1,250,000","$849,000"
894,Delanie Walker,Titans,TE,"$2,095,000","$2,095,000","$8,500,000","($6,405,000)","$4,577,795","$3,718,750","$859,045",Free Agent,
895,Zaire Franklin,Colts,43OLB,"$495,000","$2,095,000","$636,764","$1,458,236","$495,000","$636,764","($141,764)","$750,000","$1,345,000"
896,Josh Reynolds,Rams,WR,"$1,955,000","$2,092,000","$762,006","$1,329,994","$1,955,000","$762,006","$1,192,994","$2,133,000","($41,000)"
897,Riley Dixon,Giants,P,"$2,090,000","$2,090,000","$3,050,000","($960,000)","$2,090,000","$3,050,000","($960,000)","$2,660,000","($570,000)"
898,Cethan Carter,Bengals,TE,"$509,000","$2,089,000","$557,000","$1,532,000","$541,521","$522,188","$19,333","$2,133,000","($44,000)"
899,Fred Johnson,Bengals,RG,"$2,032,000","$2,087,000","$590,000","$1,497,000","$2,032,000","$590,000","$1,442,000","$675,000","$1,412,000"
900,Ka'imi Fairbairn,Texans,K,"$2,087,000","$2,087,000","$3,095,000","($1,008,000)","$2,087,000","$3,095,000","($1,008,000)","$7,000,000","($4,913,000)"
901,Josh Kline,Vikings,RG,"$1,936,000","$2,081,000","$5,166,667","($3,085,667)","$2,853,538","$4,197,917","($1,344,379)",Free Agent,
902,Dee Ford,49ers,43DE,"$2,059,000","$2,077,000","$17,000,000","($14,923,000)","$3,187,773","$12,750,000","($9,562,227)","$14,500,000","($12,423,000)"
903,Taylor Rapp,Rams,S,"$1,654,000","$2,077,000","$1,168,424","$908,576","$1,654,000","$1,168,424","$485,576","$707,441","$1,369,559"
904,Oday Aboushi,Lions,RG,"$2,009,000","$2,075,000","$1,250,000","$825,000","$2,009,000","$1,250,000","$759,000","$1,187,500","$887,500"
905,Marshall Newhouse,Patriots,LT,"$1,962,000","$2,075,000","$930,000","$1,145,000","$1,962,000","$930,000","$1,032,000",Free Agent,
906,Dorian O'Daniel,Chiefs,43OLB,"$523,000","$2,073,000","$830,785","$1,242,215","$536,679","$726,937","($190,258)","$773,500","$1,299,500"
907,Damarious Randall,Browns,S,"$1,993,000","$2,072,000","$1,978,932","$93,068","$3,363,542","$1,484,199","$1,879,343","$1,500,000","$572,000"
908,Stephon Tuitt,Steelers,34DE,"$1,986,000","$2,070,000","$12,000,000","($9,930,000)","$8,598,411","$4,500,000","$4,098,411","$9,000,000","($6,930,000)"
909,Darryl Johnson Jr.,Bills,43DE,"$632,000","$2,069,000","$654,616","$1,414,384","$632,000","$654,616","($22,616)","$675,000","$1,394,000"
910,John Ross,Bengals,WR,"$2,065,000","$2,065,000","$4,278,966","($2,213,966)","$6,012,813","$2,139,483","$3,873,330","$2,798,982","($733,982)"
911,Danny Trevathan,Bears,ILB,"$2,001,000","$2,030,000","$7,000,000","($4,970,000)","$4,415,000","$4,375,000","$40,000","$7,500,000","($5,470,000)"
912,Dallin Leavitt,Raiders,S,"$1,072,000","$2,027,000","$487,500","$1,539,500","$1,072,000","$487,500","$584,500","$675,000","$1,352,000"
913,Josh Gordon,Seahawks,WR,"$2,012,000","$2,017,000","$2,025,000","($8,000)","$2,356,406","$1,898,438","$457,968",Free Agent,
914,Andrew Beck,Broncos,TE,"$1,175,000","$2,016,000","$590,000","$1,426,000","$1,175,000","$590,000","$585,000","$675,000","$1,341,000"
915,Sean Chandler,Giants,S,"$798,000","$2,015,000","$615,000","$1,400,000","$798,000","$615,000","$183,000","$750,000","$1,265,000"
916,Sherrick McManis,Bears,CB,"$1,071,000","$2,014,000","$1,750,000","$264,000","$1,192,250","$1,093,750","$98,500","$1,187,500","$826,500"
917,Jordan Richards,Ravens,S,"$902,000","$2,013,000","$805,000","$1,208,000","$902,000","$805,000","$97,000","$935,000","$1,078,000"
918,Ian Thomas,Panthers,TE,"$1,897,000","$2,000,000","$801,998","$1,198,002","$1,897,000","$801,998","$1,095,002","$750,000","$1,250,000"
919,Matthew Adams,Colts,ILB,"$553,000","$1,993,000","$640,396","$1,352,604","$553,000","$640,396","($87,396)","$750,000","$1,243,000"
920,Andre Smith,Panthers,ILB,"$555,000","$1,993,000","$637,262","$1,355,738","$555,000","$637,262","($82,262)","$750,000","$1,243,000"
921,Adrian Colbert,Dolphins,S,"$1,862,000","$1,991,000","$645,000","$1,346,000","$1,862,000","$645,000","$1,217,000","$1,150,000","$841,000"
922,DeMarcus Walker,Broncos,34DE,"$1,510,000","$1,990,000","$1,268,463","$721,537","$2,051,181","$1,030,626","$1,020,555","$1,156,890","$833,110"
923,Ameer Abdullah,Vikings,RB,"$799,000","$1,988,000","$810,000","$1,178,000","$799,000","$810,000","($11,000)","$1,047,500","$940,500"
924,Jeremy Reaves,Redskins,S,"$1,216,000","$1,988,000","$540,000","$1,448,000","$1,216,000","$540,000","$676,000","$675,000","$1,313,000"
925,Denzel Perryman,Chargers,ILB,"$1,963,000","$1,987,000","$6,025,000","($4,038,000)","$2,140,500","$5,648,438","($3,507,938)","$5,550,000","($3,563,000)"
926,Austin Seibert,Browns,K,"$1,981,000","$1,981,000","$695,114","$1,285,886","$1,981,000","$695,114","$1,285,886","$675,000","$1,306,000"
927,Ty Long,Chargers,K,"$1,980,000","$1,980,000","$572,500","$1,407,500","$1,980,000","$572,500","$1,407,500","$675,000","$1,305,000"
928,Damien Wilson,Chiefs,43OLB,"$1,970,000","$1,978,000","$2,917,500","($939,500)","$1,970,000","$2,917,500","($947,500)","$3,500,000","($1,522,000)"
929,Juston Burris,Browns,S,"$1,357,000","$1,973,000","$720,000","$1,253,000","$1,357,000","$720,000","$637,000","$4,100,000","($2,127,000)"
930,Nevin Lawson,Raiders,CB,"$1,201,000","$1,969,000","$1,850,000","$119,000","$1,201,000","$1,850,000","($649,000)","$1,893,750","$75,250"
931,Sam Koch,Ravens,P,"$1,967,000","$1,967,000","$3,250,000","($1,283,000)","$1,967,000","$3,250,000","($1,283,000)","$4,250,000","($2,283,000)"
932,Marquise Blair,Seahawks,S,"$1,050,000","$1,966,000","$1,559,162","$406,838","$1,050,000","$1,559,162","($509,162)","$778,484","$1,187,516"
933,Jeff Driskel,Lions,QB,"$1,965,000","$1,965,000","$645,000","$1,320,000","$8,573,021","$443,438","$8,129,583","$2,500,000","($535,000)"
934,Jacob Martin,Texans,ILB,"$1,349,000","$1,964,000","$655,510","$1,308,490","$1,687,464","$573,571","$1,113,893","$750,000","$1,214,000"
935,Germaine Pratt,Bengals,ILB,"$1,156,000","$1,964,000","$1,020,885","$943,115","$1,156,000","$1,020,885","$135,115","$684,555","$1,279,445"
936,Terrence Brooks,Patriots,S,"$1,190,000","$1,963,000","$1,625,000","$338,000","$1,301,279","$1,523,438","($222,159)","$1,610,000","$353,000"
937,Jaquan Johnson,Bills,S,"$1,113,000","$1,959,000","$676,085","$1,282,915","$1,113,000","$676,085","$436,915","$675,000","$1,284,000"
938,Jarrad Davis,Lions,ILB,"$1,811,000","$1,948,000","$2,742,355","($794,355)","$3,717,222","$1,885,369","$1,831,853","$1,960,830","($12,830)"
939,Gabe Jackson,Raiders,RG,"$1,843,000","$1,946,000","$11,000,000","($9,054,000)","$3,964,818","$7,562,500","($3,597,682)","$9,600,000","($7,654,000)"
940,Miles Boykin,Ravens,WR,"$1,330,000","$1,943,000","$893,732","$1,049,268","$1,330,000","$893,732","$436,268","$675,000","$1,268,000"
941,Jimmy Smith,Ravens,CB,"$1,934,000","$1,934,000","$10,275,500","($8,341,500)","$3,673,925","$6,422,188","($2,748,263)","$3,500,000","($1,566,000)"
942,Aldrick Rosas,Giants,K,"$1,924,000","$1,924,000","$645,000","$1,279,000","$1,924,000","$645,000","$1,279,000","$3,259,000","($1,335,000)"
943,Joe Looney,Cowboys,C,"$1,438,000","$1,916,000","$1,050,000","$866,000","$1,438,000","$1,050,000","$388,000","$2,437,500","($521,500)"
944,Ethan Pocic,Seahawks,LG,"$1,876,000","$1,916,000","$1,102,259","$813,741","$3,829,900","$275,565","$3,554,335","$1,066,233","$849,767"
945,Preston Williams,Dolphins,WR,"$1,795,000","$1,914,000","$588,333","$1,325,667","$5,581,750","$294,167","$5,287,583","$675,000","$1,239,000"
946,Ja'Wuan James,Broncos,RT,"$1,907,000","$1,912,000","$12,750,000","($10,838,000)","$4,254,719","$2,390,625","$1,864,094","$10,000,000","($8,088,000)"
947,Lee Smith,Bills,TE,"$1,464,000","$1,912,000","$3,000,000","($1,088,000)","$1,464,000","$3,000,000","($1,536,000)","$3,250,000","($1,338,000)"
948,Arthur Maulet,Jets,CB,"$1,390,000","$1,910,000","$645,000","$1,265,000","$1,819,596","$564,375","$1,255,221","$875,000","$1,035,000"
949,Rasul Douglas,Eagles,CB,"$615,000","$1,909,000","$794,010","$1,114,990","$615,000","$794,010","($179,010)","$825,000","$1,084,000"
950,Austin Schlottmann,Broncos,RG,"$1,451,000","$1,908,000","$540,000","$1,368,000","$1,451,000","$540,000","$911,000","$675,000","$1,233,000"
951,Patrick Mekari,Ravens,C,"$1,765,000","$1,900,000","$587,667","$1,312,333","$1,765,000","$587,667","$1,177,333","$675,000","$1,225,000"
952,Barkevious Mingo,Texans,34OLB,"$515,000","$1,895,000","$3,400,000","($1,505,000)","$515,000","$3,400,000","($2,885,000)","$1,187,500","$707,500"
953,Sheldrick Redwine,Browns,S,"$1,234,000","$1,893,000","$810,102","$1,082,898","$1,579,188","$658,208","$920,980","$675,000","$1,218,000"
954,Jeff Heath,Cowboys,S,"$1,210,000","$1,885,000","$1,917,750","($32,750)","$1,917,351","$1,558,172","$359,179","$2,850,000","($965,000)"
955,Sione Takitaki,Browns,ILB,"$823,000","$1,880,000","$933,969","$946,031","$872,842","$875,596","($2,754)","$675,000","$1,205,000"
956,Dawuane Smoot,Jaguars,43DE,"$1,377,000","$1,878,000","$961,566","$916,434","$1,377,000","$961,566","$415,434","$964,353","$913,647"
957,Kiko Alonso,Saints,43OLB,"$1,827,000","$1,877,000","$5,700,000","($3,823,000)","$2,390,264","$4,631,250","($2,240,986)","$3,150,000","($1,273,000)"
958,Keelan Cole,Jaguars,WR,"$1,756,000","$1,872,000","$555,000","$1,317,000","$1,756,000","$555,000","$1,201,000","$3,259,000","($1,387,000)"
959,Anthony Brown,Cowboys,CB,"$1,789,000","$1,871,000","$618,737","$1,252,263","$3,362,950","$348,040","$3,014,910","$6,250,000","($4,379,000)"
960,Troy Reeder,Rams,ILB,"$215,000","$1,869,000","$589,000","$1,280,000","$215,000","$589,000","($374,000)","$675,000","$1,194,000"
961,Cedric Ogbuehi,Jaguars,RT,"$1,786,000","$1,868,000","$895,000","$973,000","$2,053,955","$783,125","$1,270,830","$2,300,000","($432,000)"
962,Charles Washington,Cardinals,S,"$902,000","$1,868,000","$645,000","$1,223,000","$931,500","$524,063","$407,437","$825,000","$1,043,000"
963,Taylor Gabriel,Bears,WR,"$1,864,000","$1,864,000","$6,500,000","($4,636,000)","$4,756,750","$3,656,250","$1,100,500",Free Agent,
964,Tyler Shatley,Jaguars,C,"$1,720,000","$1,862,000","$1,005,000","$857,000","$1,720,000","$1,005,000","$715,000","$1,512,500","$349,500"
965,Jimmy Moreland,Redskins,CB,"$1,217,000","$1,862,000","$654,473","$1,207,527","$1,663,054","$572,664","$1,090,390","$675,000","$1,187,000"
966,Jordan Evans,Bengals,43OLB,"$586,000","$1,857,000","$639,130","$1,217,870","$586,000","$639,130","($53,130)","$825,000","$1,032,000"
967,Kris Boyd,Vikings,CB,"$516,000","$1,856,000","$657,419","$1,198,581","$516,000","$657,419","($141,419)","$675,000","$1,181,000"
968,Nick Foles,Jaguars,QB,"$1,855,000","$1,855,000","$22,000,000","($20,145,000)","$7,196,700","$11,000,000","($3,803,300)","$8,000,000","($6,145,000)"
969,Steven Parker,Dolphins,S,"$1,401,000","$1,851,000","$540,000","$1,311,000","$1,547,829","$506,250","$1,041,579","$675,000","$1,176,000"
970,Hale Hentges,Redskins,TE,"$1,361,000","$1,851,000","$590,000","$1,261,000","$1,361,000","$590,000","$771,000","$675,000","$1,176,000"
971,Chris Manhertz,Panthers,TE,"$1,338,000","$1,849,000","$1,150,000","$699,000","$1,422,922","$1,078,125","$344,797","$1,140,000","$709,000"
972,Ryan Connelly,Giants,ILB,"$1,768,000","$1,847,000","$714,044","$1,132,956","$7,409,800","$178,511","$7,231,289","$675,000","$1,172,000"
973,Alex Armah,Panthers,FB,"$695,000","$1,846,000","$600,000","$1,246,000","$695,000","$600,000","$95,000","$825,000","$1,021,000"
974,Justin Watson,Buccaneers,WR,"$615,000","$1,845,000","$690,434","$1,154,566","$615,000","$690,434","($75,434)","$750,000","$1,095,000"
975,Morris Claiborne,Chiefs,CB,"$1,834,000","$1,845,000","$2,000,000","($155,000)","$2,824,750","$1,500,000","$1,324,750",Free Agent,
976,Myles Jack,Jaguars,ILB,"$1,839,000","$1,842,000","$14,250,000","($12,408,000)","$3,758,545","$9,796,875","($6,038,330)","$13,000,000","($11,158,000)"
977,Donte Jackson,Panthers,CB,"$1,636,000","$1,839,000","$1,203,132","$635,868","$2,701,589","$977,545","$1,724,044","$917,502","$921,498"
978,Duke Riley,Eagles,43OLB,"$180,000","$1,837,000","$879,438","$957,562","$180,000","$879,438","($699,438)","$825,000","$1,012,000"
979,Rudy Ford,Eagles,S,"$1,026,000","$1,834,000","$635,048","$1,198,952","$1,162,013","$396,905","$765,108","$825,000","$1,009,000"
980,Matthias Farley,Jets,S,"$913,000","$1,828,000","$1,100,000","$728,000","$943,087","$893,750","$49,337","$1,290,000","$538,000"
981,Ja'Whaun Bentley,Patriots,ILB,"$1,222,000","$1,826,000","$690,988","$1,135,012","$1,222,000","$690,988","$531,012","$750,000","$1,076,000"
982,Darian Stewart,Buccaneers,S,"$1,261,000","$1,824,000","$930,000","$894,000","$1,261,000","$930,000","$331,000",Free Agent,
983,Dontrell Hilliard,Browns,RB,"$765,000","$1,823,000","$525,000","$1,298,000","$848,400","$459,375","$389,025","$750,000","$1,073,000"
984,Adam Humphries,Titans,WR,"$1,697,000","$1,816,000","$9,000,000","($7,184,000)","$2,530,396","$6,750,000","($4,219,604)","$7,500,000","($5,684,000)"
985,Mike Ford,Lions,CB,"$819,000","$1,815,000","$525,000","$1,290,000","$819,000","$525,000","$294,000","$750,000","$1,065,000"
986,Kerry Hyder,Cowboys,43DE,"$1,746,000","$1,815,000","$1,000,000","$815,000","$1,746,000","$1,000,000","$746,000","$1,500,000","$315,000"
987,Cody Core,Giants,WR,"$257,000","$1,814,000","$616,983","$1,197,017","$257,000","$616,983","($359,983)","$2,000,000","($186,000)"
988,Ben Burr-Kirven,Seahawks,43OLB,"$501,000","$1,813,000","$715,730","$1,097,270","$501,000","$715,730","($214,730)","$675,000","$1,138,000"
989,Justin Hardee,Saints,WR,"$150,000","$1,811,000","$645,000","$1,166,000","$150,000","$645,000","($495,000)","$1,500,000","$311,000"
990,Curtis Riley,Raiders,S,"$842,000","$1,810,000","$810,000","$1,000,000","$842,000","$810,000","$32,000",Free Agent,
991,Marcell Harris,49ers,S,"$908,000","$1,807,000","$615,000","$1,192,000","$908,000","$615,000","$293,000","$750,000","$1,057,000"
992,Terrance Mitchell,Browns,CB,"$1,323,000","$1,806,000","$3,333,333","($1,527,333)","$1,323,000","$3,333,333","($2,010,333)","$3,000,000","($1,194,000)"
993,Tony Pollard,Cowboys,RB,"$1,254,000","$1,804,000","$797,582","$1,006,418","$1,383,879","$747,733","$636,146","$675,000","$1,129,000"
994,B.J. Finney,Steelers,C,"$1,382,000","$1,803,000","$3,095,000","($1,292,000)","$1,382,000","$3,095,000","($1,713,000)","$4,500,000","($2,697,000)"
995,Chris Board,Ravens,ILB,"$180,000","$1,803,000","$571,333","$1,231,667","$201,521","$535,625","($334,104)","$750,000","$1,053,000"
996,Deon Bush,Bears,S,"$607,000","$1,803,000","$716,554","$1,086,446","$607,000","$716,554","($109,554)","$1,400,000","$403,000"
997,Jahleel Addae,Texans,S,"$1,073,000","$1,801,000","$1,105,000","$696,000","$1,073,000","$1,105,000","($32,000)",Free Agent,
998,Robert Tonyan,Packers,TE,"$1,198,000","$1,800,000","$570,000","$1,230,000","$1,780,969","$391,875","$1,389,094","$750,000","$1,050,000"
999,T.J. Carrie,Browns,CB,"$1,349,000","$1,800,000","$7,750,000","($5,950,000)","$1,349,000","$7,750,000","($6,401,000)","$1,047,500","$752,500"
1000,Folorunso Fatukasi,Jets,34DT,"$1,241,000","$1,788,000","$658,564","$1,129,436","$1,241,000","$658,564","$582,436","$750,000","$1,038,000"
1001,Tavierre Thomas,Browns,CB,"$150,000","$1,788,000","$571,667","$1,216,333","$150,000","$571,667","($421,667)","$750,000","$1,038,000"
1002,Tyler Larsen,Panthers,C,"$1,611,000","$1,785,000","$2,150,000","($365,000)","$1,611,000","$2,150,000","($539,000)","$1,650,000","$135,000"
1003,Nick Bellore,Seahawks,FB,"$474,000","$1,784,000",$0,"$1,784,000","$486,429",$0,"$486,429","$1,050,000","$734,000"
1004,Blake Cashman,Jets,ILB,"$1,357,000","$1,783,000","$706,063","$1,076,937","$5,013,732","$308,903","$4,704,829","$675,000","$1,108,000"
1005,Matt Moore,Chiefs,QB,"$1,782,000","$1,782,000","$1,030,000","$752,000","$1,782,000","$1,030,000","$752,000",Free Agent,
1006,Peter Kalambayi,Texans,34OLB,"$519,000","$1,780,000","$644,602","$1,135,398","$519,000","$644,602","($125,602)","$750,000","$1,030,000"
1007,Brandon Wilson,Bengals,S,"$834,000","$1,778,000","$645,000","$1,133,000","$1,171,563","$483,750","$687,813","$2,133,000","($355,000)"
1008,Holton Hill,Vikings,CB,"$1,195,000","$1,778,000","$575,000","$1,203,000","$1,195,000","$575,000","$620,000","$750,000","$1,028,000"
1009,James Burgess,Jets,ILB,"$1,650,000","$1,777,000","$645,000","$1,132,000","$1,650,000","$645,000","$1,005,000","$875,000","$902,000"
1010,Virgil Green,Chargers,TE,"$1,629,000","$1,769,000","$2,866,667","($1,097,667)","$1,753,008","$2,687,500","($934,492)","$2,700,000","($931,000)"
1011,Rontez Miles,Jets,S,"$1,032,000","$1,769,000","$1,907,000","($138,000)","$1,549,902","$834,313","$715,589",Free Agent,
1012,Dan Vitale,Packers,FB,"$747,000","$1,765,000","$675,000","$1,090,000","$775,213","$632,813","$142,400","$1,300,000","$465,000"
1013,Wendell Smallwood,Redskins,RB,"$773,000","$1,762,000","$646,145","$1,115,855","$773,000","$646,145","$126,855",Free Agent,
1014,Travin Howard,Rams,ILB,"$180,000","$1,761,000","$540,000","$1,221,000","$180,000","$540,000","($360,000)","$675,000","$1,086,000"
1015,Rashaad Coward,Bears,RG,"$1,640,000","$1,761,000","$645,000","$1,116,000","$2,198,625","$564,375","$1,634,250","$825,000","$936,000"
1016,Frank Gore,Bills,RB,"$1,760,000","$1,760,000","$2,000,000","($240,000)","$1,760,000","$2,000,000","($240,000)","$1,050,000","$710,000"
1017,Buddy Howell,Texans,RB,"$563,000","$1,759,000","$572,500","$1,186,500","$563,000","$572,500","($9,500)","$750,000","$1,009,000"
1018,Derwin James,Chargers,S,"$1,753,000","$1,758,000","$3,097,238","($1,339,238)","$6,385,100","$967,887","$5,417,213","$1,606,268","$151,732"
1019,Michael Dickson,Seahawks,P,"$1,751,000","$1,751,000","$687,538","$1,063,462","$1,751,000","$687,538","$1,063,462","$750,000","$1,001,000"
1020,D'ernest Johnson,Browns,RB,"$603,000","$1,750,000","$585,000","$1,165,000","$603,000","$585,000","$18,000","$675,000","$1,075,000"
1021,Byron Pringle,Chiefs,WR,"$633,000","$1,749,000","$540,000","$1,209,000","$633,000","$540,000","$93,000","$675,000","$1,074,000"
1022,Nate Herbig,Eagles,RG,"$1,724,000","$1,748,000","$589,167","$1,158,833","$1,724,000","$589,167","$1,134,833","$675,000","$1,073,000"
1023,Tre'Quan Smith,Saints,WR,"$1,739,000","$1,747,000","$855,131","$891,869","$3,327,594","$587,903","$2,739,691","$750,000","$997,000"
1024,Leighton Vander Esch,Cowboys,43OLB,"$1,635,000","$1,746,000","$2,961,946","($1,215,946)","$4,312,208","$1,666,095","$2,646,113","$1,557,072","$188,928"
1025,Ben Braunecker,Bears,TE,"$939,000","$1,742,000","$1,350,000","$392,000","$1,384,710","$928,125","$456,585","$1,500,000","$242,000"
1026,Hroniss Grasu,Ravens,C,"$1,740,000","$1,740,000","$720,000","$1,020,000","$1,740,000","$720,000","$1,020,000",Free Agent,
1027,Joseph Jones,Broncos,ILB,"$501,000","$1,740,000","$645,000","$1,095,000","$533,833","$483,750","$50,083","$825,000","$915,000"
1028,Sean Harlow,Falcons,LG,"$1,740,000","$1,740,000","$630,000","$1,110,000","$1,740,000","$630,000","$1,110,000","$750,000","$990,000"
1029,Ugochukwu Amadi,Seahawks,S,"$662,000","$1,739,000","$791,299","$947,701","$662,000","$791,299","($129,299)","$675,000","$1,064,000"
1030,Simeon Thomas,Redskins,CB,"$802,000","$1,738,000","$540,000","$1,198,000","$802,000","$540,000","$262,000","$675,000","$1,063,000"
1031,Dwayne Washington,Saints,RB,"$542,000","$1,737,000","$675,000","$1,062,000","$542,000","$675,000","($133,000)","$1,047,500","$689,500"
1032,Sam Ficken,Jets,K,"$1,735,000","$1,735,000","$495,000","$1,240,000","$1,735,000","$495,000","$1,240,000","$675,000","$1,060,000"
1033,Will Redmond,Packers,S,"$832,000","$1,729,000","$525,000","$1,204,000","$1,071,962","$459,375","$612,587","$750,000","$979,000"
1034,Evan Boehm,Dolphins,C,"$1,613,000","$1,726,000","$2,025,000","($299,000)","$1,857,091","$1,898,438","($41,347)","$960,000","$766,000"
1035,Kyle Juszczyk,49ers,FB,"$1,614,000","$1,717,000","$5,250,000","($3,533,000)","$2,136,846","$3,937,500","($1,800,654)","$5,550,000","($3,833,000)"
1036,Tyler Conklin,Vikings,TE,"$1,033,000","$1,714,000","$685,258","$1,028,742","$1,118,383","$642,429","$475,954","$750,000","$964,000"
1037,DeShon Elliott,Ravens,S,"$1,161,000","$1,713,000","$654,450","$1,058,550","$1,901,625","$245,419","$1,656,206","$675,000","$1,038,000"
1038,Damiere Byrd,Cardinals,WR,"$1,695,000","$1,711,000","$720,000","$991,000","$2,332,750","$630,000","$1,702,750","$1,600,000","$111,000"
1039,Reggie Bonnafon,Panthers,RB,"$670,000","$1,707,000","$495,000","$1,212,000","$670,000","$495,000","$175,000","$675,000","$1,032,000"
1040,Sidney Jones,Eagles,CB,"$1,595,000","$1,706,000","$1,535,017","$170,983","$1,595,000","$1,535,017","$59,983","$1,302,282","$403,718"
1041,Henry Anderson,Jets,34DE,"$1,266,000","$1,705,000","$8,400,000","($6,695,000)","$1,828,246","$6,825,000","($4,996,754)","$7,000,000","($5,295,000)"
1042,B.J. Goodson,Packers,ILB,"$1,071,000","$1,702,000","$730,552","$971,448","$1,071,000","$730,552","$340,448","$2,400,000","($698,000)"
1043,Steven Sims,Redskins,WR,"$1,168,000","$1,702,000","$590,000","$1,112,000","$1,168,000","$590,000","$578,000","$675,000","$1,027,000"
1044,Morgan Fox,Rams,34DE,"$1,262,000","$1,699,000","$645,000","$1,054,000","$1,262,000","$645,000","$617,000",Free Agent,
1045,Jordan Wilkins,Colts,RB,"$868,000","$1,698,000","$675,310","$1,022,690","$1,015,188","$590,896","$424,292","$750,000","$948,000"
1046,James O'Shaughnessy,Jaguars,TE,"$1,639,000","$1,697,000","$1,112,500","$584,500","$5,485,677","$347,656","$5,138,021","$1,160,000","$537,000"
1047,Harvey Langi,Jets,34OLB,"$532,000","$1,696,000","$615,000","$1,081,000","$532,000","$615,000","($83,000)","$750,000","$946,000"
1048,Josh Jackson,Packers,CB,"$739,000","$1,689,000","$1,564,025","$124,975","$739,000","$1,564,025","($825,025)","$1,048,736","$640,264"
1049,Jalen Thompson,Cardinals,S,"$1,562,000","$1,686,000","$715,730","$970,270","$1,562,000","$715,730","$846,270","$675,000","$1,011,000"
1050,Cody Barton,Seahawks,ILB,"$180,000","$1,684,000","$906,531","$777,469","$180,000","$906,531","($726,531)","$675,000","$1,009,000"
1051,Ty Johnson,Lions,RB,"$1,123,000","$1,683,000","$673,139","$1,009,861","$1,123,000","$673,139","$449,861","$675,000","$1,008,000"
1052,J.D. McKissic,Lions,WR,"$1,215,000","$1,683,000","$720,000","$963,000","$1,215,000","$720,000","$495,000","$2,110,000","($427,000)"
1053,Chase Edmonds,Cardinals,RB,"$1,020,000","$1,675,000","$728,089","$946,911","$1,418,264","$591,572","$826,692","$750,000","$925,000"
1054,Morgan Burnett,Browns,S,"$1,604,000","$1,675,000","$3,250,000","($1,575,000)","$3,482,000","$1,625,000","$1,857,000",Free Agent,
1055,Jeremiah Attaochu,Broncos,34OLB,"$1,111,000","$1,675,000","$805,000","$870,000","$1,111,000","$805,000","$306,000","$1,500,000","$175,000"
1056,Mike Boone,Vikings,RB,"$760,000","$1,672,000","$572,500","$1,099,500","$760,000","$572,500","$187,500","$750,000","$922,000"
1057,Azeez Al-Shaair,49ers,43OLB,"$613,000","$1,671,000","$590,000","$1,081,000","$671,242","$553,125","$118,117","$675,000","$996,000"
1058,Giovani Bernard,Bengals,RB,"$1,643,000","$1,669,000","$5,150,000","($3,481,000)","$1,643,000","$5,150,000","($3,507,000)","$4,100,000","($2,431,000)"
1059,Breon Borders,Redskins,CB,"$963,000","$1,668,000","$615,000","$1,053,000","$963,000","$615,000","$348,000","$750,000","$918,000"
1060,Kemal Ishmael,Falcons,S,"$747,000","$1,664,000","$895,000","$769,000","$883,491","$783,125","$100,366",Free Agent,
1061,Darian Thompson,Cowboys,S,"$715,000","$1,663,000","$720,000","$943,000","$902,288","$675,000","$227,288","$1,300,000","$363,000"
1062,Benjamin Snell Jr.,Steelers,RB,"$950,000","$1,663,000","$805,517","$857,483","$1,288,036","$654,483","$633,553","$675,000","$988,000"
1063,Justin Skule,49ers,LT,"$1,216,000","$1,662,000","$674,887","$987,113","$1,216,000","$674,887","$541,113","$675,000","$987,000"
1064,Malcolm Butler,Titans,CB,"$1,611,000","$1,661,000","$12,250,000","($10,589,000)","$4,818,507","$6,890,625","($2,072,118)","$11,600,000","($9,939,000)"
1065,Xavier Rhodes,Vikings,CB,"$1,660,000","$1,660,000","$14,020,000","($12,360,000)","$1,660,000","$14,020,000","($12,360,000)","$3,000,000","($1,340,000)"
1066,A.J. Cann,Jaguars,RG,"$1,513,000","$1,655,000","$5,018,333","($3,363,333)","$1,513,000","$5,018,333","($3,505,333)","$4,975,000","($3,320,000)"
1067,David Moore,Seahawks,WR,"$1,100,000","$1,647,000","$645,000","$1,002,000","$1,347,205","$564,375","$782,830","$2,133,000","($486,000)"
